symbol,symbolName,buy,bestBidSize,sell,bestAskSize,changeRate,changePrice,open,high,low,vol,volValue,last,lastSize,averagePrice,takerFeeRate,makerFeeRate,takerCoefficient,makerCoefficient,trade_time
BTC-USDT,BTC-USDT,97546.7,0.41574415,97546.8,0.29382597,0.0328,3099.4,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97546.7,0.02051556,95022.93037052,0.001,0.001,1,1,1768424635687
BTC-USDT,BTC-USDT,97546.7,0.41574415,97546.8,0.29382597,0.0328,3099.4,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97546.7,0.02051556,95022.93037052,0.001,0.001,1,1,1768424635964
BTC-USDT,BTC-USDT,97546.7,0.42074415,97546.8,0.29382597,0.0328,3099.4,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.7,0.02051556,95022.93037052,0.001,0.001,1,1,1768424636230
BTC-USDT,BTC-USDT,97546.7,0.42074415,97546.8,0.29177568,0.0328,3099.5,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.8,0.00185029,95022.93037052,0.001,0.001,1,1,1768424636482
BTC-USDT,BTC-USDT,97546.7,0.42074415,97546.8,0.29177568,0.0328,3099.5,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.8,0.00185029,95022.93037052,0.001,0.001,1,1,1768424636766
BTC-USDT,BTC-USDT,97546.7,0.55574415,97546.8,0.29166616,0.0328,3099.5,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.8,0.00010952,95022.93037052,0.001,0.001,1,1,1768424637117
BTC-USDT,BTC-USDT,97546.7,0.55574415,97546.8,0.29166616,0.0328,3099.5,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.8,0.00010952,95022.93037052,0.001,0.001,1,1,1768424637385
BTC-USDT,BTC-USDT,97546.7,0.49574415,97546.8,0.29177568,0.0328,3099.5,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.8,0.00185029,95022.93037052,0.001,0.001,1,1,1768424637657
BTC-USDT,BTC-USDT,97546.7,0.42074415,97546.8,0.29177568,0.0328,3099.5,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.8,0.00185029,95022.93037052,0.001,0.001,1,1,1768424637915
BTC-USDT,BTC-USDT,97546.7,0.42074415,97546.8,0.29177568,0.0328,3099.5,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.8,0.00185029,95022.93037052,0.001,0.001,1,1,1768424638207
BTC-USDT,BTC-USDT,97546.7,0.55574415,97546.8,0.29166616,0.0328,3099.5,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.8,0.00010952,95022.93037052,0.001,0.001,1,1,1768424638486
BTC-USDT,BTC-USDT,97546.7,0.55574415,97546.8,0.29166616,0.0328,3099.5,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.8,0.00010952,95022.93037052,0.001,0.001,1,1,1768424638754
BTC-USDT,BTC-USDT,97546.7,0.55574415,97546.8,0.29166616,0.0328,3099.5,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.8,0.00010952,95022.93037052,0.001,0.001,1,1,1768424639012
BTC-USDT,BTC-USDT,97546.7,0.55574415,97546.8,0.29166616,0.0328,3099.5,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.8,0.00010952,95022.93037052,0.001,0.001,1,1,1768424639283
BTC-USDT,BTC-USDT,97546.7,0.55574415,97546.8,0.29166616,0.0328,3099.5,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.8,0.00010952,95022.93037052,0.001,0.001,1,1,1768424639552
